id	group	file
C141	C	../../data/GSE145926_covid19/GSM4339769_C141_filtered_feature_bc_matrix.h5
C142	C	../../data/GSE145926_covid19/GSM4339770_C142_filtered_feature_bc_matrix.h5
C143	C	../../data/GSE145926_covid19/GSM4339771_C143_filtered_feature_bc_matrix.h5
C144	C	../../data/GSE145926_covid19/GSM4339772_C144_filtered_feature_bc_matrix.h5
C145	M	../../data/GSE145926_covid19/GSM4339773_C145_filtered_feature_bc_matrix.h5
C146	M	../../data/GSE145926_covid19/GSM4339774_C146_filtered_feature_bc_matrix.h5
C51	M	../../data/GSE145926_covid19/GSM4475048_C51_filtered_feature_bc_matrix.h5
C52	S	../../data/GSE145926_covid19/GSM4475049_C52_filtered_feature_bc_matrix.h5
C100	S	../../data/GSE145926_covid19/GSM4475050_C100_filtered_feature_bc_matrix.h5
C148	S	../../data/GSE145926_covid19/GSM4475051_C148_filtered_feature_bc_matrix.h5
C149	S	../../data/GSE145926_covid19/GSM4475052_C149_filtered_feature_bc_matrix.h5
C152	S	../../data/GSE145926_covid19/GSM4475053_C152_filtered_feature_bc_matrix.h5
A141	C	../../data/GSE145926_covid19/GSM4339769_C141_filtered_feature_bc_matrix.h5
A142	C	../../data/GSE145926_covid19/GSM4339770_C142_filtered_feature_bc_matrix.h5
A143	C	../../data/GSE145926_covid19/GSM4339771_C143_filtered_feature_bc_matrix.h5
A144	C	../../data/GSE145926_covid19/GSM4339772_C144_filtered_feature_bc_matrix.h5
A145	M	../../data/GSE145926_covid19/GSM4339773_C145_filtered_feature_bc_matrix.h5
A146	M	../../data/GSE145926_covid19/GSM4339774_C146_filtered_feature_bc_matrix.h5
A51	M	../../data/GSE145926_covid19/GSM4475048_C51_filtered_feature_bc_matrix.h5
A52	S	../../data/GSE145926_covid19/GSM4475049_C52_filtered_feature_bc_matrix.h5
A100	S	../../data/GSE145926_covid19/GSM4475050_C100_filtered_feature_bc_matrix.h5
A148	S	../../data/GSE145926_covid19/GSM4475051_C148_filtered_feature_bc_matrix.h5
A149	S	../../data/GSE145926_covid19/GSM4475052_C149_filtered_feature_bc_matrix.h5
A152	S	../../data/GSE145926_covid19/GSM4475053_C152_filtered_feature_bc_matrix.h5
B141	C	../../data/GSE145926_covid19/GSM4339769_C141_filtered_feature_bc_matrix.h5
B142	C	../../data/GSE145926_covid19/GSM4339770_C142_filtered_feature_bc_matrix.h5
B143	C	../../data/GSE145926_covid19/GSM4339771_C143_filtered_feature_bc_matrix.h5
B144	C	../../data/GSE145926_covid19/GSM4339772_C144_filtered_feature_bc_matrix.h5
B145	M	../../data/GSE145926_covid19/GSM4339773_C145_filtered_feature_bc_matrix.h5
B146	M	../../data/GSE145926_covid19/GSM4339774_C146_filtered_feature_bc_matrix.h5
B51	M	../../data/GSE145926_covid19/GSM4475048_C51_filtered_feature_bc_matrix.h5
B52	S	../../data/GSE145926_covid19/GSM4475049_C52_filtered_feature_bc_matrix.h5
B100	S	../../data/GSE145926_covid19/GSM4475050_C100_filtered_feature_bc_matrix.h5
B148	S	../../data/GSE145926_covid19/GSM4475051_C148_filtered_feature_bc_matrix.h5
B149	S	../../data/GSE145926_covid19/GSM4475052_C149_filtered_feature_bc_matrix.h5
B152	S	../../data/GSE145926_covid19/GSM4475053_C152_filtered_feature_bc_matrix.h5
D141	C	../../data/GSE145926_covid19/GSM4339769_C141_filtered_feature_bc_matrix.h5
D142	C	../../data/GSE145926_covid19/GSM4339770_C142_filtered_feature_bc_matrix.h5
D143	C	../../data/GSE145926_covid19/GSM4339771_C143_filtered_feature_bc_matrix.h5
D144	C	../../data/GSE145926_covid19/GSM4339772_C144_filtered_feature_bc_matrix.h5
D145	M	../../data/GSE145926_covid19/GSM4339773_C145_filtered_feature_bc_matrix.h5
D146	M	../../data/GSE145926_covid19/GSM4339774_C146_filtered_feature_bc_matrix.h5
D51	M	../../data/GSE145926_covid19/GSM4475048_C51_filtered_feature_bc_matrix.h5
D52	S	../../data/GSE145926_covid19/GSM4475049_C52_filtered_feature_bc_matrix.h5
D100	S	../../data/GSE145926_covid19/GSM4475050_C100_filtered_feature_bc_matrix.h5
D148	S	../../data/GSE145926_covid19/GSM4475051_C148_filtered_feature_bc_matrix.h5
D149	S	../../data/GSE145926_covid19/GSM4475052_C149_filtered_feature_bc_matrix.h5
D152	S	../../data/GSE145926_covid19/GSM4475053_C152_filtered_feature_bc_matrix.h5
E141	C	../../data/GSE145926_covid19/GSM4339769_C141_filtered_feature_bc_matrix.h5
E142	C	../../data/GSE145926_covid19/GSM4339770_C142_filtered_feature_bc_matrix.h5
E143	C	../../data/GSE145926_covid19/GSM4339771_C143_filtered_feature_bc_matrix.h5
